vendor_code,vendor_name
s3nh,queen's confectionery uttara
u5dm,pizza test - best
s6pv,thai tanic
l84m,new hotel rongdhonu & restaurant
s8mc,hajrat-shah chandropori hotel & restaurant-motijheel
s3vc,food republic corporate
t0kn,darbar hall
s7po,roll
s3yj,get food
s8kc,express cafe
t4cw,order processing (vd) test do not order
s9ge,hotel al razzak
s5ak,american burger (mohammadpur)2
t0qr,nahar restaurant
s4km,brasil churrasco dhaka
s8kq,madchef
s0lp,capricorn's world
s4ex,copacabana
s3np,afc food gallery
s7lm,royal bangla sweet house
g8gi,test vendor
s9bg,yummy yummy
s5cm,maple leaf restaurant(sweet dream)
s7vc,china kitchen
s5eg,la bamba
kprl,kazi catering
s1pm,shumi's hot cake
s8tb,forbidden layer
s1ym,hot or cold
s3ca,rashna bilash-uttara
s8fo,cafe italiano da esperenza
s3kg,nasah petals
s8jc,f-cafe flavours
s4xr,zam zam food corner - old
s2xg,foood
s9gq,yummy yummy - banasree 1
s0hx,cafe hangout
t9zp,noyon chotpoti
t6vw,testic
s0gt,chubby rolls
s2ma,meena sweets
s3qb,food archive
s8an,the oriental lounge
s7xt,streat food
s3ef,burger n' boost
s6wu,gardenia grand hall
s2sj,kaveya fastfood & restaurant (cherag ali)
s5wa,relax coffee
s3jw,well food
s2tj,restaurant holiday garden
s1bz,pizzaria 300 corporate
s1np,coffeelicious coffee- dhanmondi
u9rt,hotel chourongi
s8be,royal explosion
s2ww,wifi street food-banani
s7jg,ffc
s1am,ishtikutum
s8ca,spicy chicken cafe
s1ww,hazi biriyani-banani
t9jc,wow momo foods
s9if,hunger anger smokin
s8oj,lunch time
s2us,cafe chapter 14
s2yy,sawadee
s8ly,mehedi's kitchen
s6tw,food republic
u6ny,testy bite - mirpur
s9qz,sanxi
s7gn,skylark
s9ov,barbecue flames
s3qz,metro restaurant and party center
s2fb,taj darbar
aojc,doyal tehari house
s8xl,lajawab restaurant
s4wf,burger 101-steak
s6po,hajrat-shah chandropori hotel & mini chinese (badda)
s4wi,tina's flavour factory
t1ws,addakhana -
c8yg,f&t food
s9cw,a & w restaurants
s3gp,coriander
s9ms,hot & crusty bakeries
s2re,cheese bite
s8vv,alchemy
s8nn,topkapi
s4qv,la bamba
s6ox,prince
s4fv,food corner
s5wz,shumi's hot cake
s4qq,le halwa
s4mb,pizza lover
s4im,uttara catering
u7kc,lunch box - chawkbazar
s1xy,300ft express corporate
s2hx,lounge six
s7di,hakasa noodle bar
t5zo,rajasthan shahi biriayni & restaurant
s6le,the burger joint (cart attack)
s1qa,mysore dosa
s7om,the kusturi restaurant
p9iw,food village restaurant
s9ev,indian kitchen
s1ex,food republic - dhanmondi
j6qg,test mahin
s5xw,h2o lounge
s0da,bonfire
s7vu,tasty treat-badda
s7ot,red court
s0te,ice land - old
s8fi,farmer's market
s9pl,rasoi
u3ga,tasty treat - uttara 11
s5wj,tokyo naandog
s1kh,amazon lilly lake view residence
t3yn,pho station express- mirpur 6
s3ho,de lake drive cafe
s0iu,what the fish
s4yt,la bamba
s6qo,red rose burger & fast food
s3fc,asian taste
s6gy,frozen bites
s7du,abacus - active
u3sh,mom's kitchen
s9kw,hangout
s7rf,biriyani hut
s5fi,spice chicken uttara
u8wl,footsteps
s6ga,chula ghar
s6ju,honey dew-mirpur
s4gt,lake view chinese restaurant and party center
s7hj,cafe fulshuty restora
s8li,white hen gourmet & pastry shop
s3rp,time pass
t4xw,bites club- old
s9yw,angaar
u8fb,suchuna sweets & doi ghor
s3am,tong corporate
s7cg,ya habibi
s1ro,cupcake crafts
s2sz,shahi indian spicy
s7bo,tbw fish & chips
t6bl,motlob technical canteen
s2gr,istanbul
s9ur,cafe 5six7
s2id,renesa (home made) catering service
s8el,rosebud
s7cr,jollichick'n-uttara
s0bg,food garage
s7oh,farmer's market
s0ka,nanna biryani moghbazar
s2ax,lambada kabab
sbkc,day night indian restaurant - delivery
u9es,lingzhi cafe
s6de,all occasion catering
u1jx,kashful sweets & restaurant
s9dg,royal treat international restaurant
s2zq,petrus
s1aa,ichiban - old
t7ga,star kabab - banani test
s0tf,mario's
s7rs,appayon
s1ld,mountain fried chicken
y5fg,test vendor
s9fl,pizza corner
t7rk,star kabab - banani
s6im,addakhana
s1jh,poplar-gulshan
s9rg,continental restaurant
s6hv,mezbaan bari - banani
s9qv,ghost riderz cafe - old
s4tp,taste of
s5ip,monster foods
s8me,mughal cuisine
s6cx,yummy hut-
z8wn,test 1
s6xh,pac & cheese
s4gp,mecfry
s6oc,la bamba
s3lb,downtown cafe
legd,rebel pos
s9ql,royal chef
s9gf,fish fish
s6bs,food pulse
s8ri,desi bites
s9ru,ramly burger
s5ih,afbl
t0rj,farmville sweets & bakery-chowdhury hat
s1ki,eric's bistro
s2jm,caspian persian & peshawari cuisine
z5hx,rupban chotpoti
s7er,helvetia
s9sm,darul kebab
s2gx,mohara garden restaurant
s4ee,feast maker ltd
u9pe,premium sweets - panthapath
s6ph,china park
s0gl,ajo
u2hv,test vendor tt
i7bq,dhaka star kabab & restaurant
s2jv,blue moon restaurant
t2yi,automation test - 2
s0gf,madchef oriental
s2zx,hirajheel hotel
s8mr,greedy guts
s3ph,fast eat
s8jd,diya's kitchen
s2sb,blue lotus restaurant & party center
s9na,soudia catering & restaurant-1
s8rv,yellow's kitchen
s1ks,nandosa
s0zb,baiti grill restaurant
s8pa,honey dew-hq
s6an,carnibros
s4ii,picasso
s6lr,chef the city-banquet hall
t2sj,first bite
s0qd,mr. sweet
s0fm,za'atar
s6qz,hangout-
s0nw,cafe beats
t7ob,wow momo foods
s0jx,sadia's kitchen
s3mk,wow burger uttara
s9vr,capri pasta
s5fp,street food
s0ik,thai corner
s0nr,california fried chicken
kgoo,day night indian restaurant - delivery
s5pr,rose view hotel
s9in,stacks o snacks - old
w1ym,food cafe - mirpur
s0nj,shawarma house (original)-dhanmondi
u7mx,manobsheba
s6bq,the mesquite grill
s3zo,shawarma hut
duey,kiva han
s0ei,bioscope restaurant
s9ne,meat lovers
s8ft,love bites restaurant
s5sb,kungfu kitchen
b8zs,lfc burger & chotpoti
s5uc,california fried chicken
s6pb,cafe italiano lavazza
s3in,the cart company
t2zu,al modina biryani & restaurant
s8fr,kachangs
s6ca,bbq bangladesh corporate
s7bi,the prominent food
s9lc,twist of spice
s3fh,chicken mama
s7cx,fnf
s9ye,bibigo-korean sauce chicken
s7gl,don giovanni @ tea stall
s7ge,broccoli garden restaurant-mohammadpur
t1an,food festival & coffee shop
s1bw,cooker's kitchen
s3zw,food leader
s8md,cafe 16 - old
s3xg,palki restaurant
s2qr,chennai express
s8ka,chicken cottage
s4gu,erams kitchen
c2gh,test vendor
s7dt,fujian restaurant
s6oi,la bamba
s0ee,cafe al fresco
s2pl,hamza bar-b-q
s0tm,hot box dhanmondi
s8jx,pizza la vita- uttara
up69,arman tasty food
u8vx,grand burg
s3us,shawarma club bashundhara corporate
s3bk,cafe florentine
s0pf,chicken hut
qze2,abir food corner
z4jo,test vendor
s7oo,cafe mirror
s3iz,wrap'd.
ewpt,domino's pos dev
s7oe,caramel scoop
s1po,helvetia
s3lp,mila fast food
s6fs,mozzaria
s8lv,driftwood
s0od,hot & crusty bakeries
s2xe,wow burger
s8xv,hamadan
s0ev,rock n roll
x3dj,just juice
s2kr,euro mini chinese & thai food
eyz5,day night indian restaurant - delivery
t1uf,suzuki cafe -
u2kq,premium sweets - dhanmondi
s2fz,e lounge
s0lf,golden food
o2br,dewan hotel
l5ix,maa hotel and restaurant
h4kk,test restaurant
s6dw,burger palace
s4qt,arabian nights
s2zb,helvetia
s7xy,d cafe
s0et,goody's
s2tu,helvetia
z3vf,test vendor mgmt
s5vn,lovin oven restaurant
s8fa,thali
s6oz,fc.com
s0ih,meat lovers corporate
s8rs,khf
s9wh,panini
s0um,somtam exotic thai cuisine-uttara
s4kv,shumi's hot cake
s4cj,delhi darbar bd
c1a2,dine in test
s4ay,smell & smile
s7nw,lovin oven
sim3,faria's test
u0bf,test
u4xb,pasta & burger house
s9fd,shumi's hot cake
s1fh,route 6 de lounge
s6rm,alfaz food fair - old
s3yx,"chiling thai, chinese & indian restaurant"
s7ca,cheeni kom
u0cg,abul ulaye biriyani house
u2mg,mukta fast food
s6ws,well food
s8ix,pizza bar
s6sd,burger jerks
s0pe,nanna biriyani mirpur
s7ee,tehari on wheels
s9ei,awesome burger
s8eu,sausly's dhanmondi
igym,ghoroa restaurant & biryani house
s0lq,hungry bell
u9cv,new latest burger
u9uc,lunch box - comilla
s1zl,sub lovers
b5xl,test vendor
s1mw,tasty treat- uttara (sector-9)
s7in,the shawarma house - old
s3di,tasty treat-green road
s2ue,new kok-kok
s5ol,spitfire - old
s6xv,burgeroo - khulshi ustc
u7yy,sadia's hot cake
s8uv,cooper's
s1uw,sarabela
s8yd,fire on ice
s2ld,the sweet bar
s0om,classic shawarma house
u3tb,salma kitchen
s8bi,paach vai restaurant
s6xt,urban spice
s2qf,mk fast food
s0al,khana's
s8uj,ramly burger
s5wc,hunger's inn
s6pd,foodgenius
s2zc,brew
s1fx,tasty tibet
s8hv,gyro king
s4sm,rose wood restaurant
s2jd,shumi's hot cake
s7xw,flambe (corp)
a9im,food lover
s1tr,roll
s9th,unipole foods limited
s9iv,pizza guy
t8wp,omar foods banasree
s4wq,fastway
s0nv,the mirage
s6er,cheese bite - malibag
s3ov,gulshan plaza restaurant
p9qb,test vendor
s8se,bread & beyond- banasree
i5sg,test restaurant x
s0bn,saffron spice
s0ze,d'popeyes
s1ji,mogol restaurant
s8nv,fried chicken & pizza
s7kr,abacus
s8ae,ffc
s8cl,banolata coffee shop - pallabi
a6xr,reshma home made kitchen
s8go,cabana sea food
s4de,pizza napoli
s4az,red chili cafe
s1ib,handi
s4sp,chittagong express
s3eh,garden of eve
s2rj,american burger-khilgaon
s4ei,asian sr hotel & restaurant
s2rf,food fiesta
u1ae,give bangladesh
s9cj,the soup corner
s1zb,exclusive sweets ltd-bashundhara
s1dq,hungry duck - old
s6cz,masud restaurant
s0fp,hirajheel sweets
s8kn,the sky room dining - old
t3jm,kisukkhon restaurant
s4ed,sweets.com
s1go,chiswick
s0sw,la bamba
s1xs,food factory-
s2um,wendy's-1
s8gr,the hungry bee
s2fa,flavors premium sweets & bakers
s7hs,aaria by zarin
s6dx,bar-b-q house
s2zl,chaap shamlao-bailey road
s6rc,flavors of china
s8hs,poplar-jfp
s6ip,cafe combo
s5ef,aroma
m7bm,extra kitchen - kishoreganj
s0xa,crepe o momo
xuka,test bolu
s9bb,nanna biriyani- banasree
s6mq,apple inn
s8ks,take a bite
s6qt,the biriyani castle
s8gx,rizbiz cafe
s0zz,meena sweets
s0xw,kook
s7ae,lingzhi burger
s1zf,salam's kitchen
s3tr,tin bela cafe and bar-b-q
s0ra,sweet king(sweets & bakery)
s4ua,the dhansiri restora-banani
s8bh,dominous pizza-gulshan
s2yn,corporate vendor
r4le,sabiha kitchen
s3ga,tejpata restaurant
s3mn,pizza inn
s4in,the original wow! burger
s5sk,syeed's food village
s3bw,chef king
s8lc,allien food
s3ry,oven fresh old
s6bc,american burger uttara (sector-3)
s9xx,helvetia
s7ll,tajmahal takeaway uttara
s9ec,extra time
s2lx,well food-
s8wt,jollichick'n-dhanmondi
d8kr,nokshi netra restaurant
s2sr,nildighi
t1fd,golden chimney restaurant
s6ly,helvetia
s1ac,entrée café lounge
s3mj,bismillah biriyani ghor
s9tk,hotel paradise & biryani house
u6gn,soudiya catering & restaurant
s8ow,munch bite
u1zm,jannat kitchen
s9xl,glazed uttara
s9ki,sbarro
s7mv,the dark music cafe & restaurant old
s6jg,melange
s0pr,albino restaurant & party hall
u5yt,test - abc
t8fr,down town
t3ro,test chain
s9pq,burger hut - motijheel
s1jq,shumi's hot cake
s3wl,tasty treat- rampura
s2ky,subcity-uttara
s3wj,madani fry chicken
s2ct,avalon restaurant
s6nr,rush tex mex cafe
s3bv,tower inn sweets & bakery
s1cx,shirasagi restaurant
u7xf,siam super shop
s6td,peda ting ting
s7ko,snow-ball and cafe
s6oj,grassroots
s7sr,broast cafe - muradpur
s9oy,ziz fast food & chinese
s4hd,yummy yummy - lalmatia - old
s1ky,clouds cafe & restaurant
s5fn,the dining room
u1ap,sn trading agency
s8zp,burger shack
s8qm,d bistro
s8ma,kababer haddi
i8at,test123
s2un,spicy broast
s9hs,kabab & curry
s6at,oroi
u6dw,mithai -
s9iz,blue horizon bistro
s2rd,burgwich town
s6kv,taaaasty
t5xk,halal testy food
yrn7,domino's pos uat
s6hd,pizza hut delivery old
s5se,classic rock coffee co.
s8cq,sayami fine dining restaurant
s3yn,spaghetti wheel
s5qe,share hope -
s2od,ffc
s0lr,kozmo banani
s0bw,meridian tandoor
s5io,chef's cuisine - banani
s6vt,diner's cuisine
s4vq,baburchi restaurant-
s9ih,spice chicken green road
u8zb,suchuna sweets & doi ghor
s2yz,food land cafe hotel & restaurant
s6ru,burger
s1hp,cookie man
s7jn,well food
s2dh,cafe 14
s2yf,hari vanga
s4bn,cafe nemo (platinum suites)
s5rs,orchard suites
s7ol,test shouren
s5je,cafe 101
s5nl,mezban chinese and bangla restaurant
s2rn,mandarin
s5ti,fries & meats
s4vb,yummy yummy - mirpur13
t1ak,vouchar test 2
s2rp,foodpanda test restaurant 2
s0ss,burger zone
s6ti,panchforon restaurant
s9ah,gharowa hotel & restaurant
s9cz,noakhali restaurant & ruti house
s2tb,food crafts
s9cn,cafe young mart
s5ma,yummy yummy-mirpur 2
s0cd,cafe mango
s2gu,cofi 11
s4ea,doner chef
x5yk,test for cm
s2jx,lounge comida - old
rqiz,food capital restaurant & biryani house
s2qc,fusion cuisine - 0ld
s3gc,sky chef
r5hz,mithai - banasree block c
t0xn,muslim sweets & dodhi - old
s1za,candy floss
s5he,taste of adora
s1km,thai bistro
s4tq,chaap station bashundhara corporate
s2nq,the jungle restaurant & cafe
s7cm,authentic thai restaurant
s2ch,pasta villa
h4cp,cheez - gulshan
s8lu,flambe
s2ed,3d cafe & more corporate
s9fp,chaap station
t5oz,pizza fresh
s0pv,coca-cola
s7tx,tom yam
s2pi,daily deli original
u8nz,shathi restaurant
s7kg,exclusive sweets ltd-badda
u0rg,bfc uttara
s7ja,grace food
s9hm,meena sweets
s8yz,triangle cafe - old
s5sq,real pizza-banani
s5qi,cuppies
s8hx,foodies corner
s4is,why not
s1ya,baraka foods
s7vb,awadhi
s1pu,tajmahal takeaway bashundhara
y9pb,test of
s8pr,diya's kitchen takeaway corporate
s9cc,shawkat kabab ghar
s1cl,beethoven cafe
s0ks,pizza mamma mia
s8pf,arabian broast chicken
s1ho,meat lovers-bashundhara
s9ip,nascent gardenia - nobu signature
s4op,fiesta restaurant
u2xd,cafe f & b - uttarkhan
s2ap,jaffroni handi
u1hg,bill bari mistanno bhandar-2
s4eh,mithai(sweets & bake)-anderkilla
s5ev,simply thai
